¼ø,ÀÌ¸§,ÆÀ,WAAwithADJ,ÃâÀå,¼±¹ß,ÀÌ´×,±âÈ¸,ÀÚ»ì,º¸»ì,½ÇÃ¥,¼öºñÀ²,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
1,»ï¼º,15,6.72,2084,1296,11478,5216,3778,1342,96,0.982,4.02,60.65,-1.29,5.31,6.57,0.77,72.01,7.51,-0.25,71.76,6.72,6.72
2,LG,22,4.137,2226,1296,11592,5345,3864,1392,89,0.983,4.08,37.79,-0.24,-3.31,0.99,4.84,40.08,4.14,-0.17,39.91,4.137,4.137
3,SSG,22,3.94,2152,1296,11712,5473,3904,1460,109,0.98,4.12,26.73,13.51,-2.52,-0.73,1.08,38.06,3.89,-0.04,38.02,3.94,3.94
4,LG,20,3.569,113,1296,11634,5417,3878,1459,80,0.985,4.13,35.36,-1.51,-0.49,1.18,3.43,37.96,3.91,-0.31,37.65,3.569,3.569
5,LG,19,3.516,2139,1294,11532,5442,3842,1505,95,0.983,4.17,29.78,4.38,-1.42,0.13,0.98,33.85,3.51,-0.15,33.7,3.516,3.516
6,LG,17,3.394,2203,1296,11511,5375,3837,1435,103,0.981,4.12,38.08,-0.01,-0.35,-0.38,-0.95,36.39,3.78,-0.02,36.37,3.394,3.394
7,NC,15,3.041,2195,1296,11514,5377,3797,1497,83,0.985,4.14,21.74,1.26,-0.3,4.03,3.43,30.16,3.14,1.76,31.93,2.81,3.041
8,ÇÑÈ­,15,3.033,2213,1296,11517,5517,3808,1604,105,0.981,4.23,40.31,0.42,-4.91,-2.77,-0.96,32.09,3.34,-0.27,31.83,3.028,3.033
9,NC,19,2.645,2138,1296,11559,5419,3852,1472,95,0.983,4.15,18.03,3.86,2.52,0.02,1.03,25.45,2.64,0.12,25.57,2.645,2.645
10,KT,19,2.573,2121,1291,11484,5399,3828,1469,102,0.981,4.15,26.14,-1.46,0.37,0.16,-0.5,24.71,2.58,-0.14,24.56,2.573,2.573
11,KT,22,2.381,2171,1296,11586,5378,3862,1420,96,0.982,4.1,14.67,3.92,-1.12,1.79,3.43,22.68,2.34,-0.12,22.57,2.381,2.381
12,LG,21,2.209,2302,1296,11451,5388,3818,1479,91,0.983,4.16,23.21,-5.34,0.06,0.98,2.65,21.56,2.25,-0.13,21.43,2.209,2.209
13,µÎ»ê,16,2.201,2079,1314,11670,5505,3890,1534,81,0.985,4.18,8.53,7.93,0.03,1.69,5.11,23.28,2.39,0.6,23.92,2.108,2.201
14,NC,17,2.159,2244,1296,11562,5389,3854,1427,108,0.98,4.11,20.22,5.71,0.31,-0.94,-1.86,23.43,2.43,-0.34,23.09,2.159,2.159
15,KT,20,2.006,105,1296,11613,5460,3871,1487,102,0.981,4.15,17.26,8.02,-2.42,-0.55,-1.01,21.3,2.2,-0.39,20.91,2.006,2.006
