ÆÀ,¿¬µµ,OPS,wOBA,wRC+,WAR*,WPA*
µÎ»ê,18,0.862,0.372,119.8,37.57,26.13
µÎ»ê,17,0.828,0.364,116.5,34.82,17.72
µÎ»ê,16,0.851,0.379,116.8,34.81,23.69
»ï¼º,15,0.847,0.373,115.3,33.76,19.23
NC,20,0.828,0.37,114.9,33.23,17.79
Å°¿ò,19,0.768,0.352,113.8,32.46,9.03
Å°¿ò,15,0.858,0.376,115.4,31.63,19.1
µÎ»ê,15,0.804,0.358,112.1,31.61,14.48
µÎ»ê,20,0.792,0.359,114.1,31.25,13.49
KIA,17,0.84,0.367,113.1,31.25,20.61
LG,22,0.742,0.34,113.4,31.02,3.5
NC,15,0.822,0.363,110.9,30.27,13.28
NC,16,0.824,0.369,108.6,28.87,16.13
SSG,21,0.775,0.357,108.7,28.21,10.41
µÎ»ê,19,0.745,0.344,109.5,27.97,6.12
KIA,22,0.746,0.342,110.2,27.23,0.9
LG,20,0.778,0.35,108.8,27.14,8.97
KIA,18,0.824,0.357,107.2,26.96,17.18
KT,20,0.794,0.356,106.6,26.58,15.08
NC,17,0.808,0.356,106.7,26.45,12.44
NC,19,0.762,0.346,107.7,26.43,-1.13
Å°¿ò,20,0.762,0.347,104.3,26.34,10.36
µÎ»ê,21,0.741,0.346,107.5,26.14,3.66
·Ôµ¥,21,0.756,0.352,105.5,24.48,3.95
·Ôµ¥,18,0.827,0.356,103.9,24.47,13.11
SSG,18,0.829,0.357,103.8,23.89,16.93
NC,21,0.759,0.349,104.5,23.83,4.54
Å°¿ò,18,0.802,0.349,101.3,23.6,15.7
Å°¿ò,16,0.808,0.364,100.8,23.47,16.99
Å°¿ò,17,0.794,0.353,102.9,23.45,10.04
KT,19,0.729,0.336,102.8,23.28,1.76
SSG,22,0.732,0.333,102.7,23.25,8.96
LG,18,0.797,0.347,102.5,23.14,14.02
KT,21,0.738,0.344,100.8,22.37,4.65
Å°¿ò,21,0.722,0.34,99.9,22.34,4.1
»ï¼º,16,0.806,0.36,100.1,22.21,13.64
»ï¼º,21,0.743,0.344,100.8,21.87,7.49
LG,19,0.711,0.327,98.8,21.84,2.58
·Ôµ¥,15,0.802,0.354,102.9,21.7,6.75
·Ôµ¥,16,0.793,0.359,100.4,21.46,14.15
Å°¿ò,22,0.697,0.322,99.4,21.43,-1.21
KIA,16,0.81,0.36,99.6,21.4,10.68
LG,21,0.71,0.334,99.4,21.04,0.5
NC,22,0.709,0.326,100.5,20.93,-7.33
»ï¼º,22,0.721,0.328,99.3,20.58,-0.42
·Ôµ¥,20,0.762,0.347,99.7,20.52,10.01
LG,16,0.779,0.352,98,20.29,13.27
SSG,16,0.811,0.359,100.1,20.23,7.56
SSG,17,0.806,0.349,99.3,20.14,12.43
·Ôµ¥,17,0.789,0.347,98,19.9,12.54
»ï¼º,18,0.787,0.344,96.6,19.89,8.89
SSG,19,0.718,0.331,97.2,19.1,0.54
KT,22,0.704,0.322,95.7,19.09,1.09
SSG,15,0.759,0.338,95.4,19,2.64
KIA,20,0.755,0.343,98.6,18.79,8.55
µÎ»ê,22,0.689,0.318,97.5,18.32,-3.71
KIA,19,0.706,0.328,95.8,17.66,-3.84
ÇÑÈ­,17,0.786,0.344,96.8,17.5,8.18
ÇÑÈ­,16,0.792,0.355,95.6,17.49,14.55
»ï¼º,19,0.718,0.328,94.6,17.27,-4.93
»ï¼º,17,0.768,0.337,92.7,16.81,5.87
·Ôµ¥,22,0.711,0.324,96.4,16.62,-3.65
KT,15,0.748,0.335,88.7,16.15,2.19
»ï¼º,20,0.732,0.333,91.1,15.9,-0.43
LG,17,0.748,0.333,93,15.83,3.6
ÇÑÈ­,15,0.764,0.34,89.9,15.68,11.13
LG,15,0.738,0.33,92.1,15.28,0.53
KT,18,0.796,0.343,94.2,15.12,8.54
ÇÑÈ­,19,0.686,0.317,92.1,14.98,-7.1
ÇÑÈ­,22,0.671,0.311,89.7,13.49,-13.54
ÇÑÈ­,18,0.763,0.335,89.1,12.22,10.47
ÇÑÈ­,21,0.675,0.32,87.6,11.86,-10.31
·Ôµ¥,19,0.674,0.312,86,10.91,-10.09
KIA,21,0.673,0.321,86.7,10.61,-3.12
SSG,20,0.711,0.324,85.3,10.38,-2.01
KT,17,0.742,0.328,84.4,9.72,-2.29
NC,18,0.733,0.322,83.6,9.68,6.03
KT,16,0.738,0.336,83.6,9.51,1.72
KIA,15,0.718,0.32,79,5.51,3.86
ÇÑÈ­,20,0.658,0.306,76.9,4.66,-12.09
