ÆÀ,¿¬µµ,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,Å¸ÀÚWAR,Å¸ÀÚWPA
µÎ»ê,18,5870,5176,944,1601,284,30,191,2518,898,96,23,496,92,16,1016,112,43,63,0.309,0.376,0.486,0.862,0.372,119.8,37.57,26.13
µÎ»ê,17,5833,5102,849,1499,270,20,178,2343,812,69,33,541,95,19,960,120,48,47,0.294,0.369,0.459,0.828,0.364,116.5,34.82,17.72
µÎ»ê,16,5841,5044,935,1504,284,25,183,2387,877,85,45,600,86,11,884,121,43,68,0.298,0.378,0.473,0.851,0.379,116.8,34.81,23.69
»ï¼º,15,5803,5019,897,1515,259,25,176,2352,850,157,52,581,70,21,930,109,76,57,0.302,0.378,0.469,0.847,0.373,115.3,33.76,19.23
NC,20,5833,5102,888,1483,258,28,187,2358,845,101,38,529,104,21,997,106,46,51,0.291,0.366,0.462,0.828,0.37,114.9,33.23,17.79
Å°¿ò,19,5658,4991,780,1405,252,37,112,2067,741,110,33,514,69,13,943,122,36,48,0.282,0.354,0.414,0.768,0.352,113.8,32.46,9.03
³Ø¼¾,15,5811,5069,904,1512,304,20,203,2465,855,100,47,544,82,18,1098,112,61,55,0.298,0.372,0.486,0.858,0.376,115.4,31.63,19.1
µÎ»ê,15,5759,4957,807,1436,254,22,140,2154,770,111,47,567,99,24,820,139,75,60,0.29,0.37,0.435,0.804,0.358,112.1,31.61,14.48
µÎ»ê,20,5773,5043,816,1476,263,20,125,2154,776,88,37,552,67,20,796,132,38,73,0.293,0.365,0.427,0.792,0.359,114.1,31.25,13.49
KIA,17,5841,5142,906,1554,292,29,170,2414,868,76,34,499,89,19,891,118,55,56,0.302,0.37,0.469,0.84,0.367,113.1,31.25,20.61
LG,22,5627,4927,715,1325,208,33,118,1953,674,102,46,501,103,18,924,109,49,46,0.269,0.346,0.396,0.742,0.34,113.4,31.02,3.5
NC,15,5727,4967,844,1437,283,28,161,2259,802,204,60,536,106,24,1023,105,64,53,0.289,0.367,0.455,0.822,0.363,110.9,30.27,13.28
NC,16,5833,5007,857,1457,249,19,169,2251,808,99,41,609,93,18,1023,133,70,52,0.291,0.375,0.45,0.824,0.369,108.6,28.87,16.13
SSG,21,5736,4899,755,1278,205,13,185,2064,712,100,43,636,94,23,1056,106,55,52,0.261,0.354,0.421,0.775,0.357,108.7,28.21,10.41
µÎ»ê,19,5669,4912,736,1364,235,31,84,1913,692,102,38,562,73,16,799,117,39,83,0.278,0.355,0.389,0.745,0.344,109.5,27.97,6.12
KIA,22,5703,5001,720,1362,250,19,113,1989,676,103,33,542,63,21,983,111,60,36,0.272,0.349,0.398,0.746,0.342,110.2,27.23,0.9
LG,20,5681,4999,802,1384,253,29,149,2142,760,83,39,509,75,21,969,115,49,49,0.277,0.349,0.428,0.778,0.35,108.8,27.14,8.97
KIA,18,5744,5036,865,1487,258,22,170,2299,823,88,37,503,99,27,905,135,56,50,0.295,0.367,0.457,0.824,0.357,107.2,26.96,17.18
KT,20,5762,5047,813,1432,238,21,163,2201,767,106,50,554,52,20,1097,104,64,45,0.284,0.358,0.436,0.794,0.356,106.6,26.58,15.08
NC,17,5790,5079,786,1489,277,19,149,2251,739,93,32,471,130,19,979,119,62,48,0.293,0.365,0.443,0.808,0.356,106.7,26.45,12.44
NC,19,5631,4968,674,1383,249,26,128,2068,639,86,45,456,83,14,880,126,64,60,0.278,0.345,0.416,0.762,0.346,107.7,26.43,-1.13
Å°¿ò,20,5721,4945,759,1332,254,25,127,2017,713,113,26,608,73,16,1030,107,43,52,0.269,0.355,0.408,0.762,0.347,104.3,26.34,10.36
µÎ»ê,21,5645,4900,738,1314,235,17,110,1913,698,81,37,560,86,13,943,137,46,53,0.268,0.35,0.39,0.741,0.346,107.5,26.14,3.66
·Ôµ¥,21,5726,5009,727,1393,266,10,107,2000,697,60,31,579,54,19,969,113,38,46,0.278,0.356,0.399,0.756,0.352,105.5,24.48,3.95
·Ôµ¥,18,5764,5130,821,1484,289,17,203,2416,792,68,32,471,81,22,1157,124,45,37,0.289,0.356,0.471,0.827,0.356,103.9,24.47,13.11
SK,18,5682,4992,829,1403,234,13,233,2362,791,108,39,483,119,6,1079,103,54,34,0.281,0.356,0.473,0.829,0.357,103.8,23.89,16.93
NC,21,5532,4808,702,1254,203,17,170,2001,670,100,46,511,111,14,1093,94,59,43,0.261,0.343,0.416,0.759,0.349,104.5,23.83,4.54
³Ø¼¾,18,5780,5141,825,1481,288,19,165,2302,787,101,33,472,85,25,1208,93,32,50,0.288,0.355,0.448,0.802,0.349,101.3,23.6,15.7
³Ø¼¾,16,5702,4990,813,1464,254,39,134,2198,765,154,83,556,63,17,956,121,34,59,0.293,0.368,0.44,0.808,0.364,100.8,23.47,16.99
³Ø¼¾,17,5712,5098,789,1479,267,30,141,2229,748,70,34,468,83,15,1066,129,21,42,0.29,0.357,0.437,0.794,0.353,102.9,23.45,10.04
KT,19,5572,4956,650,1374,186,20,103,1909,615,103,44,475,51,15,973,113,45,45,0.277,0.344,0.385,0.729,0.336,102.8,23.28,1.76
SSG,22,5642,4893,720,1245,243,18,138,1938,682,98,39,530,95,22,1075,96,77,47,0.254,0.336,0.396,0.732,0.333,102.7,23.25,8.96
LG,18,5665,5070,788,1487,299,12,148,2254,740,71,38,418,75,14,1001,125,51,51,0.293,0.353,0.445,0.797,0.347,102.5,23.14,14.02
KT,21,5619,4802,719,1274,219,11,106,1833,675,112,46,645,58,27,1044,105,69,44,0.265,0.356,0.382,0.738,0.344,100.8,22.37,4.65
Å°¿ò,21,5645,4868,720,1259,244,28,90,1829,669,96,26,593,93,17,1051,93,35,56,0.259,0.347,0.376,0.722,0.34,99.9,22.34,4.1
»ï¼º,16,5863,5093,852,1492,249,34,142,2235,792,104,50,552,75,15,864,119,88,55,0.293,0.367,0.439,0.806,0.36,100.1,22.21,13.64
»ï¼º,21,5552,4836,712,1292,204,18,133,1931,669,116,44,545,55,21,902,98,48,68,0.267,0.344,0.399,0.743,0.344,100.8,21.87,7.49
LG,19,5532,4924,641,1315,233,15,94,1860,604,107,47,434,77,17,961,117,49,48,0.267,0.333,0.378,0.711,0.327,98.8,21.84,2.58
·Ôµ¥,15,5680,4972,765,1393,254,19,177,2216,727,104,50,532,68,22,1186,136,80,28,0.28,0.356,0.446,0.802,0.354,102.9,21.7,6.75
·Ôµ¥,16,5784,5001,777,1439,252,20,127,2112,732,145,64,596,83,18,1061,120,62,41,0.288,0.37,0.422,0.793,0.359,100.4,21.46,14.15
Å°¿ò,22,5655,4953,621,1249,203,33,94,1800,577,63,20,527,92,26,1032,89,49,34,0.252,0.333,0.363,0.697,0.322,99.4,21.43,-1.21
KIA,16,5696,4999,803,1429,264,28,170,2259,754,101,50,499,87,12,997,109,66,45,0.286,0.358,0.452,0.81,0.36,99.6,21.4,10.68
LG,21,5533,4750,654,1188,210,11,110,1750,622,92,34,593,93,16,926,102,52,45,0.25,0.342,0.368,0.71,0.334,99.4,21.04,0.5
NC,22,5585,4899,646,1261,231,14,105,1835,613,100,39,501,88,24,981,112,50,47,0.257,0.334,0.375,0.709,0.326,100.5,20.93,-7.33
»ï¼º,22,5647,5023,663,1357,241,19,103,1945,626,90,27,447,53,28,1029,119,83,41,0.27,0.334,0.387,0.721,0.328,99.3,20.58,-0.42
·Ôµ¥,20,5669,4958,750,1366,252,6,131,2023,711,90,31,569,55,18,875,148,39,48,0.276,0.354,0.408,0.762,0.347,99.7,20.52,10.01
LG,16,5765,5051,786,1464,238,26,118,2108,744,121,70,523,72,10,982,92,65,54,0.29,0.361,0.417,0.779,0.352,98,20.29,13.27
SK,16,5672,5023,753,1464,234,19,182,2282,715,89,60,429,102,13,1018,104,71,47,0.291,0.356,0.454,0.811,0.359,100.1,20.23,7.56
SK,17,5564,4925,761,1337,222,15,234,2291,733,53,42,427,113,20,1100,97,57,41,0.271,0.341,0.465,0.806,0.349,99.3,20.14,12.43
·Ôµ¥,17,5671,4994,743,1425,250,17,151,2162,697,92,44,457,112,33,1018,146,76,32,0.285,0.356,0.433,0.789,0.347,98,19.9,12.54
»ï¼º,18,5766,5109,776,1471,241,29,146,2208,732,116,52,468,87,14,1034,115,57,45,0.288,0.355,0.432,0.787,0.344,96.6,19.89,8.89
SK,19,5542,4919,655,1290,218,14,117,1887,622,118,50,462,87,20,966,92,35,38,0.262,0.334,0.384,0.718,0.331,97.2,19.1,0.54
KT,22,5547,4864,631,1237,191,19,119,1823,588,89,34,519,49,21,1183,105,70,44,0.254,0.33,0.375,0.704,0.322,95.7,19.09,1.09
SK,15,5588,4861,693,1323,214,10,145,1992,656,94,59,490,98,13,1047,113,110,29,0.272,0.349,0.41,0.759,0.338,95.4,19,2.64
KIA,20,5637,4933,724,1353,224,13,130,1993,692,47,25,534,69,10,957,113,63,38,0.274,0.351,0.404,0.755,0.343,98.6,18.79,8.55
µÎ»ê,22,5510,4892,638,1249,210,12,101,1786,592,90,40,450,71,16,1007,116,53,44,0.255,0.324,0.365,0.689,0.318,97.5,18.32,-3.71
KIA,19,5505,4874,605,1286,248,19,76,1800,566,87,42,496,59,13,919,108,31,45,0.264,0.336,0.369,0.706,0.328,95.8,17.66,-3.84
ÇÑÈ­,17,5665,5030,736,1445,261,16,150,2188,684,64,44,416,94,15,974,112,85,38,0.287,0.351,0.435,0.786,0.344,96.8,17.5,8.18
ÇÑÈ­,16,5838,5109,826,1478,242,27,142,2200,787,64,38,510,91,19,1025,123,87,41,0.289,0.362,0.431,0.792,0.355,95.6,17.49,14.55
»ï¼º,19,5533,4866,622,1245,230,26,122,1893,598,107,42,478,78,15,976,107,58,53,0.256,0.329,0.389,0.718,0.328,94.6,17.27,-4.93
»ï¼º,17,5707,5095,757,1419,255,36,145,2181,703,98,37,429,70,17,983,97,58,55,0.279,0.34,0.428,0.768,0.337,92.7,16.81,5.87
·Ôµ¥,22,5534,4948,605,1320,227,16,106,1897,570,61,39,417,54,19,991,127,73,42,0.267,0.328,0.383,0.711,0.324,96.4,16.62,-3.65
kt,15,5605,4927,670,1344,221,15,129,1982,633,124,52,507,58,21,1112,118,75,37,0.273,0.345,0.402,0.748,0.335,88.7,16.15,2.19
»ï¼º,20,5574,4923,699,1317,211,12,129,1939,658,132,49,486,62,10,990,117,50,53,0.268,0.338,0.394,0.732,0.333,91.1,15.9,-0.43
LG,17,5614,4944,699,1390,216,20,110,1976,664,77,56,438,101,17,1021,123,76,55,0.281,0.348,0.4,0.748,0.333,93,15.83,3.6
ÇÑÈ­,15,5713,4850,717,1316,218,19,130,1962,667,80,47,581,109,33,1133,112,139,35,0.271,0.36,0.405,0.764,0.34,89.9,15.68,11.13
LG,15,5599,4941,653,1331,252,22,114,1969,601,113,62,462,80,18,1076,98,75,41,0.269,0.339,0.399,0.738,0.33,92.1,15.28,0.53
KT,18,5605,5026,757,1382,264,13,206,2290,721,80,57,464,46,14,1109,103,43,26,0.275,0.34,0.456,0.796,0.343,94.2,15.12,8.54
ÇÑÈ­,19,5482,4882,607,1249,223,16,88,1768,562,105,51,441,70,12,1090,112,44,45,0.256,0.324,0.362,0.686,0.317,92.1,14.98,-7.1
ÇÑÈ­,22,5513,4877,564,1197,217,19,88,1716,520,93,49,497,52,13,1264,92,46,40,0.245,0.319,0.352,0.671,0.311,89.7,13.49,-13.54
ÇÑÈ­,18,5539,4972,729,1369,249,14,151,2099,668,118,64,420,88,17,1098,113,31,28,0.275,0.341,0.422,0.763,0.335,89.1,12.22,10.47
ÇÑÈ­,21,5495,4687,599,1111,213,17,80,1598,554,110,56,632,75,14,1286,110,53,48,0.237,0.334,0.341,0.675,0.32,87.6,11.86,-10.31
·Ôµ¥,19,5488,4919,578,1231,214,22,90,1759,545,62,31,430,64,12,1085,108,35,40,0.25,0.316,0.358,0.674,0.312,86,10.91,-10.09
KIA,21,5577,4831,568,1198,183,21,66,1621,546,73,31,595,73,16,921,119,41,37,0.248,0.337,0.336,0.673,0.321,86.7,10.61,-3.12
SK,20,5502,4839,634,1212,177,17,143,1852,595,81,45,511,69,18,981,112,49,34,0.25,0.329,0.383,0.711,0.324,85.3,10.38,-2.01
