연도,구단,경기수,승수,타율,타점,홈런,안타수,단타,2루타,3루타,출루율,장타율,OPS,득점권 타수,득점권 안타,득점권,UC타수,UC안타,UC비율,UC홈런,경기수,타석수,타수,득점,볼넷,사구,도루시도,도루성공,도루 성공률,희생번트시도,희생번트성공,희타 성공률,희비,대타수,대타 안타,대타율,병살,실책,피삼진
22,1:오릭스,143,76,0.246,466,89,"1,164",829,220,26,0.317,0.361,0.678,"1,153",293,0.254,"2,197",536,0.244,47,143,"5,379","4,723",490,451,80,101,62,0.614,134,114,0.851,35,126,25,0.198,98,63,987
22,2:소프트뱅크,143,76,0.255,529,108,"1,218",887,189,34,0.32,0.377,0.697,"1,175",312,0.266,"1,952",511,0.262,49,143,"5,384","4,772",555,430,51,129,86,0.667,138,110,0.797,31,158,40,0.253,88,48,"1,096"
22,3:세이부,143,72,0.229,441,118,"1,062",728,191,25,0.298,0.358,0.655,"1,011",230,0.227,"2,142",473,0.221,60,143,"5,201","4,633",464,445,37,95,60,0.632,102,78,0.765,27,79,20,0.253,93,69,"1,095"
22,4:라쿠텐,143,69,0.243,511,101,"1,150",841,179,29,0.325,0.357,0.682,"1,194",305,0.255,"2,170",511,0.235,47,143,"5,458","4,738",533,548,60,138,97,0.703,117,95,0.812,30,96,19,0.198,99,45,"1,063"
22,5:롯데,143,69,0.231,474,97,"1,075",767,196,15,0.303,0.342,0.645,"1,093",265,0.242,"2,285",528,0.231,51,143,"5,300","4,655",501,444,69,169,132,0.781,119,94,0.79,47,158,33,0.209,95,61,"1,052"
22,6:일본햄,143,59,0.234,441,100,"1,091",751,214,26,0.292,0.356,0.647,"1,027",263,0.256,"2,153",527,0.245,47,143,"5,177","4,661",463,370,39,159,95,0.597,116,98,0.845,27,203,32,0.158,67,79,"1,148"
22,1:야쿠르트,143,80,0.25,606,174,"1,209",805,210,20,0.318,0.41,0.728,"1,140",288,0.253,"2,077",517,0.249,76,143,"5,446","4,834",619,476,55,103,69,0.67,108,86,0.796,29,249,45,0.181,102,69,"1,118"
22,2:DeNA,143,73,0.251,477,117,"1,190",833,228,12,0.308,0.378,0.686,"1,057",256,0.242,"2,305",581,0.252,63,143,"5,275","4,746",497,381,54,88,49,0.557,125,102,0.816,22,305,59,0.193,109,64,932
22,3:한신,143,68,0.243,462,84,"1,160",903,152,21,0.301,0.337,0.638,"1,100",265,0.241,"2,285",558,0.244,30,143,"5,323","4,767",489,379,47,145,110,0.759,144,119,0.826,32,233,56,0.24,90,86,"1,020"
22,4:거인,143,68,0.242,533,163,"1,161",785,199,14,0.309,0.392,0.701,"1,050",256,0.244,"2,278",542,0.238,73,143,"5,341","4,788",548,454,36,95,64,0.674,94,73,0.777,15,264,55,0.208,89,82,"1,062"
